ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,target,target_name
-9704,740,12260,398,1966,125,-9660,1156,12268,354,1984,-1,5,Perfectly-Correct
-8856,3768,14300,-525,539,-9,-8756,3648,14344,-498,559,2,5,Perfectly-Correct
-10944,1568,13716,-290,-1112,1584,-10560,1328,13868,-130,-1308,1884,5,Perfectly-Correct
-10660,1904,13276,-957,-562,12,-10840,1848,13320,-941,-593,26,5,Perfectly-Correct
-10540,1840,12632,86,-1877,1059,-10584,1956,12524,101,-1836,1047,5,Perfectly-Correct
-11016,2276,12636,-689,-1316,490,-11080,2248,12584,-727,-1298,515,5,Perfectly-Correct
-12260,2192,11628,213,178,1171,-12352,2208,11684,199,196,1152,5,Perfectly-Correct
-12440,3304,10652,-487,479,69,-12344,3320,10576,-475,482,78,5,Perfectly Correct
-12028,3616,10020,264,650,-344,-12184,3332,10068,323,590,-330,5,Perfectly-Correct
-12272,3544,10596,-1016,475,-401,-12152,3608,10500,-990,426,-331,5,Perfectly-Correct
-12136,3860,10680,-420,456,-318,-12244,3804,10620,-449,461,-391,5,Perfectly-Correct
-12344,3092,10272,-35,-71,808,-12488,3040,10296,-30,-127,810,5,Perfectly-Correct
-7628,4540,13640,1277,-1301,1319,-8168,4616,14360,1279,-1407,1380,5,Perfectly-Correct
-11988,3480,11332,-409,-74,377,-12080,3340,11104,-444,-60,321,5,Perfectly-Correct
-11348,3612,12620,-2123,-1492,813,-11344,3584,12720,-1934,-1719,958,5,Perfectly-Correct
-11456,4560,10848,-154,555,75,-11456,4648,10724,-165,582,93,5,Perfectly-Correct
-10544,4636,12024,-1602,-676,478,-10688,4788,11920,-1862,-608,428,5,Perfectly-Correct
-9256,4616,13320,-364,-2066,1263,-9244,4840,13380,-362,-2010,1275,5,Perfectly-Correct
-7624,5460,14248,-1153,641,-264,-7644,5392,14104,-1159,597,-177,5,Perfectly-Correct
